date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:10	153/153	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Apr%202016%2007:47:38%20GMT	http://davtonia.com/blackcoin	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin.0.delayed	(from )
00:48:10	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202016%2007:47:39%20GMT	http://davtonia.com/robots.txt		(from )
00:48:12	185738/185738	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2007:47:40%20GMT	http://davtonia.com/blackcoin/	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/index.html	(from )
00:48:13	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2015%20Apr%202016%2007:47:41%20GMT	http://davtonia.com/blackcoin/xmlrpc.php	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/xmlrpc.1.delayed	(from http://davtonia.com/blackcoin/)
00:48:13	238/238	---M-Z	200	added ('OK')	text/css	etag:%226a7aa558a53d11:0%22	http://davtonia.com/blackcoin/wp-content/plugins/spamgone/comments_filter.css?ver=4.3.3	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/plugins/spamgone/comments_filterb523.css	(from http://davtonia.com/blackcoin/)
00:48:13	716/716	---M--	200	added ('OK')	application/rss+xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://davtonia.com/blackcoin/comments/feed/	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/comments/feed/index.html	(from http://davtonia.com/blackcoin/)
00:48:14	887/887	---M-Z	200	added ('OK')	text/css	etag:%222674443d2721d11:0%22	http://davtonia.com/blackcoin/wp-content/plugins/easy-accordion-free/css/style.css?ver=4.3.3	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/plugins/easy-accordion-free/css/styleb523.css	(from http://davtonia.com/blackcoin/)
00:48:14	14679/14679	---M--	200	added ('OK')	application/rss+xml	etag:%2291d8f9fa0beef77d52a0537eebe85b93%22	http://davtonia.com/blackcoin/feed/	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/feed/index.html	(from http://davtonia.com/blackcoin/)
00:48:14	21658/21658	---MCZ	200	added ('OK')	text/css	etag:W/%221f9e9d1a5a1d347d945ef4b7727f2ea0%22	http://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css?ver=4.3.3	C:/My%20Web%20Sites/BlackCoin/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesomeb523.css	(from http://davtonia.com/blackcoin/)
00:48:14	33619/33619	---M-Z	200	added ('OK')	text/css	etag:%22a510ede5cd7d11:0%22	http://davtonia.com/blackcoin/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.0.9	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/plugins/revslider/public/assets/css/settingsd6ea.css	(from http://davtonia.com/blackcoin/)
